id,name,type,typeLabel,kind,camp,campLabel,chapters,chapterStart,chapterEnd,chapterCount,degree,score,isTrunk,aliases,description
entity:character_曹操,曹操,character,人物,entity,wei,曹魏,1;2;3;4;5;6;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;54;55;56;57;58;59;60,1,60,56,691,1770,true,司空曹操|吉利|孟德|孤|操曹|操賊|曹|曹丞相|曹公|曹孟德|曹將軍|曹瞞|曹賊|曹阿瞞|漢大丞相|漢相|老賊|阿瞞|驍騎校尉曹操|魏武,騎都尉，率軍赴潁川截擊張梁、張寶。；先從皇甫嵩討張梁，後在何進議誅宦官時提出謹慎意見。；勸何進不要召外兵，後參與入宮誅宦並請何太后權攝大事。
entity:character_劉備,劉備,character,人物,entity,mixed,混合,1;2;5;6;7;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;47;49;50;51;52;53;54;55;56;57;58;60,1,60,50,448,1264,true,劉使君|劉備|劉公|劉玄德|劉皇叔|劉縣尉|劉豫州|大耳兒|宗兄將軍|平原劉玄德|故主|玄德|豫州|豫州牧,漢室宗親，與關羽、張飛結義，初立軍功。；本章隨關、張投朱儁，屢立軍功，後任安喜縣尉，又投劉虞、守平原。；平原縣令，隨公孫瓚會盟，後與關羽、張飛戰呂布。
entity:character_關羽,關羽,character,人物,entity,mixed,混合,1;2;5;6;7;11;12;13;14;15;16;17;18;19;20;21;22;24;25;26;27;28;31;34;35;36;37;38;39;40;41;42;43;45;49;50;51;52;53;55;56;60,1,60,42,189,705,true,二哥|美髯公|羽|長生|關公|關將軍|關張|關某|關羽|關雲長|雲長,河東解良人，與劉備、張飛結義，斬程遠志。；與玄德、張飛同進退，參與破張寶、攻宛城，後勸玄德棄官。；劉備之弟，任馬弓手，溫酒斬華雄，後助戰呂布。
entity:character_呂布,呂布,character,人物,entity,mixed,混合,3;4;5;6;8;9;11;12;13;14;15;16;17;18;19;20;25;44,3,44,18,177,588,true,呂佈|呂奉先|呂溫侯|奉先|溫侯,丁原義兒，勇武持方天畫戟；受李肅說降殺丁原，投董卓並拜為義父。；侍從董卓，制伏伍孚，亦奉命為曹操挑選西涼馬。；董卓倚重的猛將，守虎牢關，與劉關張交戰。
entity:character_周瑜,周瑜,character,人物,entity,wu,東吳,15;29;38;39;44;45;46;47;48;49;50;51;52;54;55;56;57,15,57,17,154,534,true,公瑾|周公瑾|周瑾|周郎|周都督|東吳大都督|週瑜|週督|週郎|週都督,孫策昆仲，於歷陽加入，薦二張並多次領軍破敵。；孫策舊交，守巴丘，奔喪後向孫權效忠並推薦魯肅。；輔佐孫權，反對遣子為質，後被拜為大都督。
entity:character_袁紹,袁紹,character,人物,entity,lords,群雄,2;3;4;5;6;7;10;13;16;18;21;22;23;24;25;26;27;28;29;30;31;32;33;38;50,2,50,25,150,558,true,司隸校尉袁紹|本初|袁公|袁將軍|袁本初,請率精兵冊立新君，後收蹇碩並勸何進誅宦官。；護送何進、入宮誅宦，後反對董卓廢立。；因反對董卓而離京奔冀州，後在渤海集兵，密書王允圖董卓。
entity:character_張飛,張飛,character,人物,entity,mixed,混合,1;2;5;6;7;11;12;13;14;15;16;18;19;20;21;22;24;25;28;31;34;35;36;37;38;39;40;41;42;45;49;50;51;52;53;55;56;57;60,1,60,39,129,572,true,劣弟|張|張將軍|張翼德|張飛|燕人張翼德|燕人張飛|翼德,涿郡豪傑，與劉備、關羽結義，斬鄧茂。；玄德義弟，刺高升、伏擊張寶，後怒鞭督郵。；劉備之弟，任步弓手，救公孫瓚並酣戰呂布。
entity:character_孫權,孫權,character,人物,entity,mixed,混合,7;15;29;34;37;38;39;40;42;43;44;45;47;49;50;52;53;54;55;56;57;58;60,7,60,23,118,487,true,仲謀|孤|孫仲謀|孫將軍|碧眼兒,孫堅次子，吳夫人所生。；孫策之弟，與周泰守宣城，遇山賊由周泰救出。；孫策之弟，受孫策印綾繼承江東，後得張昭、周瑜、魯肅、諸葛瑾等輔佐。
entity:character_趙雲,趙雲,character,人物,entity,mixed,混合,7;11;21;28;31;34;35;36;39;40;41;42;45;49;50;51;52;53;54;55;56;57;60,7,60,23,108,466,true,子龍|常山趙子龍|趙|趙子龍|趙雲|雲,常山真定人，原屬袁紹，後投公孫瓚；在界橋救公孫瓚並刺死曲義。；隨劉備一方援徐州，後辭別劉備而去。；劉備因公孫瓚死而掛念其下落。
entity:character_董卓,董卓,character,人物,entity,mixed,混合,1;2;3;4;5;6;7;8;9;10;19;44,1,44,12,96,398,true,仲穎|恩相|董丞相|董公|董太師|董相國|董賊,接替盧植領兵，敗於張角後被劉備三人救回。；隴西臨洮人，官拜河東太守，怠慢玄德。；西涼刺史，率軍入洛陽，圖謀廢少帝立陳留王，招降呂布後威勢大增。
