id,source,target,relationType,category,categoryLabel,chapters,chapterStart,chapterEnd,weight,confidence,description,kind
rel:000001,entity:character_張讓,entity:faction_十常侍,成員,command,陣營統率,1;2,1,2,2,0.985,張讓為十常侍之一。；張讓屬十常侍集團。,entity_relation
rel:000002,entity:character_曹節,entity:faction_十常侍,成員,command,陣營統率,1,1,1,1,0.99,曹節為十常侍之一。,entity_relation
rel:000003,entity:character_靈帝,entity:character_張讓,尊信,other,其他關係,1,1,1,1,0.99,靈帝尊信張讓，呼其為阿父。,entity_relation
rel:000004,entity:character_曹節,entity:character_蔡邕,陷害,other,其他關係,1,1,1,1,0.92,曹節窺蔡邕奏章後宣告左右，蔡邕因此被陷罪。,entity_relation
rel:000005,entity:character_張角,entity:character_馬元義,遣使,other,其他關係,1,1,1,1,0.99,張角派馬元義攜金帛結交中涓。,entity_relation
rel:000006,entity:character_何進,entity:character_馬元義,調兵斬殺,military,軍事衝突,1,1,1,1,0.99,何進奉命調兵擒馬元義並斬之。,entity_relation
rel:000007,entity:character_張角,entity:army_黃巾賊,統領,command,陣營統率,1,1,1,1,0.99,黃巾眾從張角起事。,entity_relation
rel:000008,entity:character_何進,entity:character_盧植,派遣討賊,command,陣營統率,1,1,1,1,0.95,何進奏帝後，盧植分路討賊。,entity_relation
rel:000009,entity:character_何進,entity:character_皇甫嵩,派遣討賊,command,陣營統率,1,1,1,1,0.95,皇甫嵩奉命分路討賊。,entity_relation
rel:000010,entity:character_何進,entity:character_朱儁,派遣討賊,command,陣營統率,1,1,1,1,0.95,朱儁奉命分路討賊。,entity_relation
rel:000011,entity:army_黃巾賊,entity:location_幽州,攻打,military,軍事衝突,1,1,1,1,0.98,張角一軍前犯幽州界分。,entity_relation
rel:000012,entity:character_劉焉,entity:character_鄒靖,召議,other,其他關係,1,1,1,1,0.99,劉焉召鄒靖商議應敵。,entity_relation
rel:000013,entity:character_劉備,entity:faction_漢朝,宗親,other,其他關係,1,1,1,1,0.99,劉備自稱漢室宗親。,entity_relation
rel:000014,entity:character_劉備,entity:character_張飛,結義,other,其他關係,1;15,1,15,2,0.985,劉備與張飛桃園結為兄弟。；劉備以桃園義阻止張飛自刎。,entity_relation
rel:000015,entity:character_劉備,entity:character_關羽,結義,other,其他關係,1;15;51,1,51,3,0.9733,劉備與關羽桃園結為兄弟。；劉備重申三人桃園結義。,entity_relation
rel:000016,entity:character_關羽,entity:character_張飛,結義,other,其他關係,1,1,1,1,0.99,關羽與張飛桃園結為兄弟。,entity_relation
rel:000017,entity:character_劉焉,entity:character_劉備,認親,other,其他關係,1,1,1,1,0.99,劉焉認劉備為侄。,entity_relation
rel:000018,entity:character_程遠志,entity:army_黃巾賊,統領,command,陣營統率,1,1,1,1,0.99,程遠志統率五萬黃巾來犯涿郡。,entity_relation
rel:000019,entity:character_鄧茂,entity:character_程遠志,副將,other,其他關係,1,1,1,1,0.99,鄧茂為程遠志副將。,entity_relation
rel:000020,entity:character_劉焉,entity:character_鄒靖,命令出戰,military,軍事衝突,1,1,1,1,0.99,劉焉令鄒靖引劉備三人破敵。,entity_relation
rel:000021,entity:character_張飛,entity:character_鄧茂,殺死,military,軍事衝突,1,1,1,1,0.99,張飛挺矛刺死鄧茂。,entity_relation
rel:000022,entity:character_關羽,entity:character_程遠志,殺死,military,軍事衝突,1,1,1,1,0.99,關羽揮刀斬程遠志。,entity_relation
rel:000023,entity:character_劉備,entity:battle_大興山之戰,指揮追擊,military,軍事衝突,1,1,1,1,0.97,劉備揮軍追趕敗退黃巾。,entity_relation
rel:000024,entity:character_龔景,entity:character_劉焉,求援,other,其他關係,1,1,1,1,0.99,龔景致牒文向劉焉求救。,entity_relation
rel:000025,entity:character_劉焉,entity:battle_青州解圍戰,派兵救援,military,軍事衝突,1,1,1,1,0.99,劉焉令鄒靖率兵與劉備等救青州。,entity_relation
rel:000026,entity:character_劉備,entity:strategy_伏兵夾攻,設計,strategy,謀略建議,1,1,1,1,0.99,劉備提出出奇兵，以伏兵夾攻。,entity_relation
rel:000027,entity:character_關羽,entity:strategy_伏兵夾攻,執行伏兵,military,軍事衝突,1,1,1,1,0.99,關羽率一千軍伏山左。,entity_relation
rel:000028,entity:character_張飛,entity:strategy_伏兵夾攻,執行伏兵,military,軍事衝突,1,1,1,1,0.99,張飛率一千軍伏山右。,entity_relation
rel:000029,entity:battle_青州解圍戰,entity:location_青州,發生於,place,地點事件,1,1,1,1,0.99,青州解圍戰發生於青州城下。,entity_relation
rel:000030,entity:character_劉備,entity:character_盧植,師事,other,其他關係,1,1,1,1,0.99,劉備早年曾師事盧植。,entity_relation
rel:000031,entity:character_盧植,entity:battle_廣宗對峙,指揮,other,其他關係,1,1,1,1,0.99,盧植在廣宗圍張角。,entity_relation
rel:000032,entity:character_張角,entity:battle_廣宗對峙,敵對,other,其他關係,1,1,1,1,0.99,張角率眾與盧植在廣宗相拒。,entity_relation
rel:000033,entity:character_盧植,entity:character_劉備,調派,other,其他關係,1,1,1,1,0.99,盧植令劉備赴潁川打探消息。,entity_relation
rel:000034,entity:character_皇甫嵩,entity:strategy_火攻,設計,strategy,謀略建議,1,1,1,1,0.99,皇甫嵩與朱儁商議用火攻。,entity_relation
rel:000035,entity:character_朱儁,entity:strategy_火攻,設計,strategy,謀略建議,1,1,1,1,0.99,朱儁與皇甫嵩合計火攻長社。,entity_relation
rel:000036,entity:character_皇甫嵩,entity:character_張寶,敵對,other,其他關係,1,1,1,1,0.95,皇甫嵩在潁川對壘張寶等黃巾。,entity_relation
rel:000037,entity:character_朱儁,entity:character_張梁,敵對,other,其他關係,1,1,1,1,0.95,朱儁在潁川對壘張梁等黃巾。,entity_relation
rel:000038,entity:character_曹操,entity:army_曹操軍,統領,command,陣營統率,1;6;59,1,59,3,0.9833,曹操率馬步軍五千赴潁川。；曹操自引萬餘兵追董卓。,entity_relation
rel:000039,entity:character_曹操,entity:character_張寶,攔截追擊,military,軍事衝突,1,1,1,1,0.96,曹操截住張寶敗軍並追襲。,entity_relation
rel:000040,entity:character_曹操,entity:character_張梁,攔截追擊,military,軍事衝突,1,1,1,1,0.96,曹操截住張梁敗軍並追襲。,entity_relation
rel:000041,entity:character_曹嵩,entity:character_曹操,父子,kinship,親族婚姻,1,1,1,1,0.99,曹嵩為曹操之父。,entity_relation
rel:000042,entity:character_董卓,entity:character_盧植,替代,other,其他關係,1,1,1,1,0.99,董卓奉朝廷之命代領盧植之兵。,entity_relation
rel:000043,entity:character_張角,entity:character_董卓,擊敗,military,軍事衝突,1,1,1,1,0.99,張角殺敗董卓，乘勢追來。,entity_relation
rel:000044,entity:character_劉備,entity:battle_救董卓之戰,參與救援,military,軍事衝突,1,1,1,1,0.99,劉備與關、張衝殺救董卓。,entity_relation
rel:000045,entity:character_關羽,entity:battle_救董卓之戰,參與救援,military,軍事衝突,1,1,1,1,0.98,關羽參與救董卓之戰。,entity_relation
rel:000046,entity:character_張飛,entity:battle_救董卓之戰,參與救援,military,軍事衝突,1,1,1,1,0.98,張飛參與救董卓，後因董卓無禮欲殺之。,entity_relation
rel:000047,entity:character_張飛,entity:character_董卓,欲殺,military,軍事衝突,1;2,1,2,2,0.985,張飛因董卓無禮，欲入帳殺董卓。；張飛因不滿董卓欲殺之。,entity_relation
rel:000048,entity:character_董卓,entity:character_劉備,怠慢,other,其他關係,2,2,2,1,0.98,董卓怠慢玄德，引發張飛不滿。,entity_relation
rel:000049,entity:character_劉備,entity:character_關羽,義同生死,other,其他關係,2,2,2,1,0.95,玄德表明三人義同生死，不願相離。,entity_relation
rel:000050,entity:character_劉備,entity:character_張飛,義同生死,other,其他關係,2,2,2,1,0.95,玄德與張飛同為義同生死之兄弟。,entity_relation
rel:000051,entity:character_劉備,entity:character_朱儁,投奔,other,其他關係,2,2,2,1,0.99,玄德與關、張連夜引軍投朱儁。,entity_relation
rel:000052,entity:character_朱儁,entity:character_劉備,任命先鋒,office,官職任命,2,2,2,1,0.99,朱儁令玄德為先鋒與賊對敵。,entity_relation
rel:000053,entity:character_張寶,entity:character_高升,派遣,command,陣營統率,2,2,2,1,0.99,張寶派副將高升出馬搦戰。,entity_relation
rel:000054,entity:character_劉備,entity:character_張飛,派戰,military,軍事衝突,2,2,2,1,0.99,玄德命張飛迎戰高升。,entity_relation
rel:000055,entity:character_張飛,entity:character_高升,擊敗,military,軍事衝突,2,2,2,1,0.99,張飛與高升交戰數合，刺其落馬。,entity_relation
rel:000056,entity:character_劉備,entity:character_張寶,射傷,other,其他關係,2,2,2,1,0.99,玄德追張寶，發箭射中其左臂。,entity_relation
rel:000057,entity:character_張寶,entity:location_陽城,退守,other,其他關係,2,2,2,1,0.99,張寶帶箭逃脫，入陽城堅守。,entity_relation
rel:000058,entity:character_朱儁,entity:location_陽城,圍攻,military,軍事衝突,2,2,2,1,0.99,朱儁引兵圍住陽城攻打。,entity_relation
rel:000059,entity:character_皇甫嵩,entity:character_董卓,取代,other,其他關係,2,2,2,1,0.99,朝廷因董卓屢敗，命皇甫嵩代之。,entity_relation
rel:000060,entity:character_皇甫嵩,entity:character_張梁,斬殺,military,軍事衝突,2,2,2,1,0.99,皇甫嵩在曲陽連勝七陣，斬張梁。,entity_relation
rel:000061,entity:character_皇甫嵩,entity:character_張角,戮屍梟首,other,其他關係,2,2,2,1,0.96,皇甫嵩勝後發張角棺，戮屍梟首送京師。,entity_relation
rel:000062,entity:character_嚴政,entity:character_張寶,刺殺,military,軍事衝突,2,2,2,1,0.99,嚴政刺殺張寶，獻首投降。,entity_relation
rel:000063,entity:character_嚴政,entity:faction_漢朝廷,投降,other,其他關係,2,2,2,1,0.99,嚴政殺張寶後向漢軍投降。,entity_relation
rel:000064,entity:character_趙弘,entity:faction_黃巾餘黨,首領,other,其他關係,2,2,2,1,0.99,趙弘為黃巾餘黨三人之一。,entity_relation
rel:000065,entity:character_韓忠,entity:faction_黃巾餘黨,首領,other,其他關係,2,2,2,1,0.99,韓忠為黃巾餘黨三人之一。,entity_relation
rel:000066,entity:character_孫仲,entity:faction_黃巾餘黨,首領,other,其他關係,2,2,2,1,0.99,孫仲為黃巾餘黨三人之一。,entity_relation
rel:000067,entity:character_趙弘,entity:character_張角,報仇名義,other,其他關係,2,2,2,1,0.96,趙弘等稱為張角報仇而聚眾燒劫。,entity_relation
rel:000068,entity:character_朱儁,entity:battle_宛城之戰,指揮攻打,military,軍事衝突,2,2,2,1,0.99,朱儁奉詔率軍攻打宛城。,entity_relation
rel:000069,entity:character_趙弘,entity:character_韓忠,派遣出戰,military,軍事衝突,2,2,2,1,0.99,趙弘派韓忠出戰朱儁。,entity_relation
rel:000070,entity:character_劉備,entity:battle_宛城之戰,參戰,military,軍事衝突,2,2,2,1,0.99,朱儁派玄德、關、張攻城西南角，後玄德又打北門。,entity_relation
rel:000071,entity:character_韓忠,entity:character_朱儁,求降,other,其他關係,2,2,2,1,0.99,宛城斷糧後，韓忠使人出城投降。,entity_relation
rel:000072,entity:character_朱儁,entity:character_韓忠,拒降,other,其他關係,2,2,2,1,0.99,朱儁不許韓忠投降。,entity_relation
